servering..i.kg.,antal.ätande.på.plats,kategori,tallrikssvinn.gäst.dag,enhet,tallrik..i.kg.,serveringssvinn.gäst.dag,kökssvinn.gäst.dag,dagar,antal.port.inkl..utskick,kök..i.kg.,date,code
,145,grundskola,58.54,Mölnbo,170,NULL,41.13,20,231,190,2019-03-01T12:00:00Z,Möln
,334,grundskola,NULL,Oxbacken,,NULL,NULL,,334,,2019-03-01T12:00:00Z,Oxba
157,531,grundskola,13.93,Pershagen,148,14.77507999,7.81,20,531,83,2019-03-01T12:00:00Z,Pers
,639,gymnasium,19.56,Rektorsvägen,250,NULL,15.88,20,639,203,2019-03-01T12:00:00Z,Rekt
181,757,grundskola,28.67,Ronna,434,11.95824524,3.43,20,1179,81,2019-03-01T12:00:00Z,Ronn
,540,grundskola,37.03,Rosenborg,400,NULL,19.12,20,1456,557,2019-03-01T12:00:00Z,Rose
,628,grundskola,28.98,Soldala,364,NULL,8.2,20,628,103,2019-03-01T12:00:00Z,Sold
124,361,grundskola,23.28,Stålhamra,168,17.18403548,6.93,20,361,50,2019-03-01T12:00:00Z,Stål
,444,grundskola,19.13,Tavesta,170,NULL,22.5,20,444,200,2019-03-01T12:00:00Z,Tave
80,305,grundskola,23.44,Valla,150,12.50253958,15.41,21,371,120,2019-03-01T12:00:00Z,Vall
130,669,grundskola,19.94,Wasa,280,9.256094782,13.57,21,702,200,2019-03-01T12:00:00Z,Wasa
127,485,gymnasium,24.12,Västergård,234,13.09008452,5.22,20,1514,158,2019-03-01T12:00:00Z,Väst
,210,övrigt ,NULL,Stadshuset,,NULL,57.14,21,210,252,2019-03-01T12:00:00Z,Stad
98,643,grundskola,23.81,Blombacka,245,9.52,2.12,16,1152,39,2019-04-01T12:00:00Z,Blom
86,386,grundskola,33.02,Braxen,204,13.92,9.6,16,386,"59,3",2019-04-01T12:00:00Z,Brax
,899,grundskola,32.76,Brunnsäng,471,NULL,11.27,16,899,162,2019-04-01T12:00:00Z,Brun
140,581,grundskola,22.28,Ene,220,14.18,13.88,17,581,137,2019-04-01T12:00:00Z,Ene
88,338,grundskola,17.18,Fornbacka,87,17.37,14.41,15,338,73,2019-04-01T12:00:00Z,Forn
32,564,grundskola,40.58,Hovsjö,229,5.67,4.96,10,564,28,2019-04-01T12:00:00Z,Hovs
29,477,grundskola,6.7,Hölö,48,4.05,7.4,15,477,53,2019-04-01T12:00:00Z,Hölö
221,697,grundskola,33.28,Igelstaviken,441,16.68,5.06,19,697,67,2019-04-01T12:00:00Z,Igel
35,391,grundskola,24.81,Lina,155,5.6,20.01,16,391,125,2019-04-01T12:00:00Z,Lina
,222,grundskola,18.56,Majtorp,66,NULL,21.94,16,222,78,2019-04-01T12:00:00Z,Majt
14,325,gymnasium,5.39,Moraberg,28,2.7,2.7,16,325,14,2019-04-01T12:00:00Z,Mora
80,145,grundskola,89.13,Mölnbo,220,32.41,38.2,17,231,150,2019-04-01T12:00:00Z,Möln
,334,grundskola,NULL,Oxbacken,,NULL,NULL,,334,,2019-04-01T12:00:00Z,Oxba
87,531,grundskola,8.47,Pershagen,72,10.23,2.59,16,531,22,2019-04-01T12:00:00Z,Pers
,639,gymnasium,7.53,Rektorsvägen,77,NULL,11.34,16,639,116,2019-04-01T12:00:00Z,Rekt
149,757,grundskola,23.87,Ronna,289,12.31,0.21,16,1179,4,2019-04-01T12:00:00Z,Ronn
,540,grundskola,9.5,Rosenborg,77,NULL,15.01,15,1456,328,2019-04-01T12:00:00Z,Rose
85,628,grundskola,20.5,Soldala,206,8.46,4.08,16,628,41,2019-04-01T12:00:00Z,Sold
64,361,grundskola,22.69,Stålhamra,131,11.09,4.16,16,361,24,2019-04-01T12:00:00Z,Stål
110,444,grundskola,26.72,Tavesta,190,15.47,16.88,16,444,120,2019-04-01T12:00:00Z,Tave
53,305,grundskola,22.28,Valla,129,9.15,14.48,19,371,102,2019-04-01T12:00:00Z,Vall
80,669,grundskola,29.9,Wasa,320,7.48,8.55,16,702,96,2019-04-01T12:00:00Z,Wasa
148,485,gymnasium,22.03,Västergård,171,19.07,4.09,16,1514,99,2019-04-01T12:00:00Z,Väst
,173,grundskola,NULL,Viksberg,,NULL,NULL,,173,,2019-04-01T12:00:00Z,Viks
,210,övrigt ,NULL,Stadshuset,,NULL,54.89,19,210,219,2019-04-01T12:00:00Z,Stad
156,643,grundskola,20.81,Blombacka,281,11.55,3.06,21,1152,74,2019-05-01T12:00:00Z,Blom
146,386,grundskola,28.49,Braxen,220,18.91,13.47,20,386,104,2019-05-01T12:00:00Z,Brax
,899,grundskola,31.03,Brunnsäng,502,NULL,11.13,18,899,180,2019-05-01T12:00:00Z,Brun
60,581,grundskola,26.69,Ene,310,5.17,10.33,20,581,120,2019-05-01T12:00:00Z,Ene
128,338,grundskola,18.51,Fornbacka,125,18.95,16.73,20,338,113,2019-05-01T12:00:00Z,Forn
40,564,grundskola,39.87,Hovsjö,450,3.54,3.81,20,564,43,2019-05-01T12:00:00Z,Hovs
22,477,grundskola,5.45,Hölö,52,2.3,6.28,20,477,60,2019-05-01T12:00:00Z,Hölö
342,697,grundskola,23.28,Igelstaviken,276,28.85,1.43,17,697,17,2019-05-01T12:00:00Z,Igel
70,391,grundskola,21.77,Lina,170,8.96,18.57,20,391,145,2019-05-01T12:00:00Z,Lina
69,222,grundskola,12.86,Majtorp,60,14.79,12.64,21,222,59,2019-05-01T12:00:00Z,Majt
15,325,gymnasium,4.16,Moraberg,27,2.31,3.08,20,325,20,2019-05-01T12:00:00Z,Mora
17,145,grundskola,72.31,Mölnbo,210,5.85,5.41,20,231,25,2019-05-01T12:00:00Z,Möln
,334,grundskola,NULL,Oxbacken,,NULL,NULL,,334,,2019-05-01T12:00:00Z,Oxba
118,531,grundskola,10.63,Pershagen,113,11.1,3.58,20,531,38,2019-05-01T12:00:00Z,Pers
,639,gymnasium,17.46,Rektorsvägen,212,NULL,10.13,19,639,123,2019-05-01T12:00:00Z,Rekt
195,757,grundskola,22.93,Ronna,347,12.88,0.93,20,1179,22,2019-05-01T12:00:00Z,Ronn
,540,grundskola,30.27,Rosenborg,327,NULL,13.18,20,1456,384,2019-05-01T12:00:00Z,Rose
95,628,grundskola,31.21,Soldala,392,7.56,6.61,20,628,83,2019-05-01T12:00:00Z,Sold
72,361,grundskola,17.6,Stålhamra,127,9.98,0.28,20,361,2,2019-05-01T12:00:00Z,Stål
40,444,grundskola,10.69,Tavesta,95,4.5,7.31,20,444,65,2019-05-01T12:00:00Z,Tave
46,305,grundskola,26.26,Valla,160,7.55,20.64,20,371,153,2019-05-01T12:00:00Z,Vall
70,669,grundskola,20.93,Wasa,280,5.23,6.41,20,702,90,2019-05-01T12:00:00Z,Wasa
157,485,gymnasium,20.16,Västergård,176,17.98,2.5,18,1514,68,2019-05-01T12:00:00Z,Väst
74,173,grundskola,41.11,Viksberg,142,21.42443544,31.79190751,20,173,110,2019-05-01T12:00:00Z,Viks
,210,övrigt ,NULL,Stadshuset,,NULL,NULL,,210,,2019-05-01T12:00:00Z,Stad
140,685,grundskola,25.83,Blombacka,354,10.21,4.35,20,1148,100,2019-09-01T12:00:00Z,Blom
110,380,grundskola,32.12,Braxen,256,13.8,5.14,21,380,41,2019-09-01T12:00:00Z,Brax
412,873,grundskola,29.2,Brunnsäng,510,23.59,5.5,20,873,96,2019-09-01T12:00:00Z,Brun
100,565,grundskola,19.37,Ene,230,8.42,4.21,21,565,50,2019-09-01T12:00:00Z,Ene
"119,3",339,grundskola,22.28,Fornbacka,151,17.61,12.96,20,339,"87,8",2019-09-01T12:00:00Z,Forn
43,582,grundskola,51.3,Hovsjö,597,3.69,2.75,20,582,32,2019-09-01T12:00:00Z,Hovs
98,469,grundskola,8,Hölö,75,10.46,4.02,20,473,38,2019-09-01T12:00:00Z,Hölö
413,740,grundskola,29.14,Igelstaviken,453,26.57,0.93,21,740,"14,4",2019-09-01T12:00:00Z,Igel
40,393,grundskola,19.1,Lina,150,5.09,15.92,20,393,125,2019-09-01T12:00:00Z,Lina
86,215,grundskola,31.9,Majtorp,130,21.1,7.61,19,215,31,2019-09-01T12:00:00Z,Majt
28,287,gymnasium,6.62,Moraberg,38,4.88,3.13,20,287,18,2019-09-01T12:00:00Z,Mora
22,156,grundskola,60.97,Mölnbo,200,6.71,4.53,21,242,23,2019-09-01T12:00:00Z,Möln
110,352,grundskola,34.63,Oxbacken,256,14.88,5.55,21,352,41,2019-09-01T12:00:00Z,Oxba
268,550,grundskola,19.65,Pershagen,227,23.2,5.8,21,550,67,2019-09-01T12:00:00Z,Pers
67,694,gymnasium,23.99,Rektorsvägen,333,4.83,3.67,20,694,51,2019-09-01T12:00:00Z,Rekt
163,760,grundskola,28.09,Ronna,427,10.72,1.43,20,1018,29,2019-09-01T12:00:00Z,Ronn
185,535,grundskola,27.78,Rosenborg,297,17.3,1.23,20,1498,37,2019-09-01T12:00:00Z,Rose
99,619,grundskola,28.5,Soldala,353,7.99,3.88,20,619,48,2019-09-01T12:00:00Z,Sold
133,364,grundskola,23.8,Stålhamra,182,17.39,NULL,21,364,,2019-09-01T12:00:00Z,Stål
61,429,grundskola,23.31,Tavesta,210,6.77,4.11,21,429,37,2019-09-01T12:00:00Z,Tave
72,320,grundskola,13.75,Valla,88,11.25,15.54,20,386,120,2019-09-01T12:00:00Z,Vall
78,650,grundskola,26.92,Wasa,350,6,7.69,20,650,100,2019-09-01T12:00:00Z,Wasa
88,501,gymnasium,20.18,Västergård,202,8.79,3.77,20,1551,117,2019-09-01T12:00:00Z,Väst
95,237,grundskola,32.98,Viksberg,156,20.08,5.92,20,237,28,2019-09-01T12:00:00Z,Viks
,210,övrigt ,NULL,Stadshuset,,NULL,58.87,22,210,272,2019-09-01T12:00:00Z,Stad
110,685,grundskola,21.16,Blombacka,290,8.03,4.09,20,1148,94,2019-10-01T12:00:00Z,Blom
174,380,grundskola,31.23,Braxen,237,22.92,6.98,20,380,53,2019-10-01T12:00:00Z,Brax
287,873,grundskola,26.91,Brunnsäng,470,16.43,8.82,20,873,154,2019-10-01T12:00:00Z,Brun
,565,grundskola,NULL,Ene,,NULL,NULL,,565,,2019-10-01T12:00:00Z,Ene
"103,3",339,grundskola,20.46,Fornbacka,"131,7",16.05,9.63,19,339,62,2019-10-01T12:00:00Z,Forn
39,582,grundskola,42.33,Hovsjö,468,3.53,2.62,19,582,29,2019-10-01T12:00:00Z,Hovs
103,469,grundskola,8.65,Hölö,77,11.57,6.12,19,473,55,2019-10-01T12:00:00Z,Hölö
435,740,grundskola,31.68,Igelstaviken,469,29.38,1.74,20,740,"25,8",2019-10-01T12:00:00Z,Igel
40,393,grundskola,18.76,Lina,140,5.36,14.74,19,393,110,2019-10-01T12:00:00Z,Lina
